time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,amcl_yaw_deg,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
66.0,7.7718,0.7935,0.0340,0.9994,3.9003,0.4656,-0.1111,-0.4442,-0.5677,0.7401,-0.6638,49.3824
66.5,7.9039,0.7957,0.0126,0.9999,1.4461,0.2402,-0.1333,-0.0220,-0.0701,0.2594,-0.1526,49.3977
67.0,8.0094,0.8034,-0.0159,0.9999,-1.8247,0.0077,0.0100,-0.0000,-0.0000,-0.0229,0.0076,49.3977
67.5,8.0094,0.8034,-0.0159,0.9999,-1.8247,-0.0128,-0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
68.0,8.0094,0.8034,-0.0159,0.9999,-1.8247,-0.0073,-0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3671
68.5,8.0094,0.8034,-0.0159,0.9999,-1.8247,-0.0047,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.4283
69.0,8.0094,0.8034,-0.0159,0.9999,-1.8247,-0.0034,0.0033,-0.0000,-0.0000,0.0000,0.0000,49.4130
69.5,8.0094,0.8034,-0.0159,0.9999,-1.8247,-0.0025,-0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3824
70.0,8.0094,0.8034,-0.0159,0.9999,-1.8247,-0.0021,-0.0022,-0.0000,-0.0000,-0.0153,0.0229,49.4436
70.5,8.0094,0.8034,-0.0159,0.9999,-1.8247,-0.0025,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3977
71.0,8.0094,0.8034,-0.0159,0.9999,-1.8247,0.0003,0.0044,-0.0000,-0.0000,0.0000,-0.0229,49.3977
71.5,8.0094,0.8034,-0.0159,0.9999,-1.8247,-0.0005,0.0000,-0.0000,-0.0000,0.0000,0.0229,49.3977
72.0,8.0094,0.8034,-0.0159,0.9999,-1.8247,0.0002,0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
72.5,8.0094,0.8034,-0.0159,0.9999,-1.8247,-0.0003,0.0011,-0.0000,-0.0000,0.0000,0.0000,49.3977
73.0,8.0094,0.8034,-0.0159,0.9999,-1.8247,0.0003,-0.0011,-0.0000,-0.0000,0.0076,0.0000,49.3365
73.5,8.0094,0.8034,-0.0159,0.9999,-1.8247,-0.0016,-0.0022,-0.0000,-0.0000,0.0000,0.0000,49.3365
74.0,8.0094,0.8034,-0.0159,0.9999,-1.8247,-0.0002,0.0022,-0.0000,-0.0000,0.0000,0.0000,49.4130
74.5,8.0094,0.8034,-0.0159,0.9999,-1.8247,-0.0001,-0.0000,-0.0000,-0.0000,0.0000,0.0000,49.3977
75.0,8.0094,0.8034,-0.0159,0.9999,-1.8247,0.0004,0.0022,-0.0000,-0.0000,-0.0076,0.0000,49.3977
