time_s,map_odom_deg,odom_base_deg,map_laser_deg,base_laser_deg,odom_laser_deg
1777022700.455279,-62.602328,-138.011357,159.402396,0.000000,-138.011357
1777022700.554423,-62.602328,-138.178543,159.219130,0.000000,-138.178543
1777022700.656060,-62.483989,-138.222568,159.281119,0.000000,-138.222568
1777022700.754417,-62.483989,-138.048742,159.467269,0.000000,-138.048742
1777022700.854694,-62.176013,-137.366666,160.425576,0.000000,-137.366666
1777022700.955582,-62.176013,-135.880671,161.943316,0.000000,-135.880671
1777022701.054248,-62.060713,-133.390950,164.537515,0.000000,-133.390950
1777022701.154493,-61.805644,-129.639505,168.530832,0.000000,-129.639505
1777022701.254689,-61.551057,-124.589913,173.835315,0.000000,-124.589913
1777022701.355309,-61.104260,-118.128223,-179.273953,0.000000,-118.128223
1777022701.454363,-60.782353,-110.501634,-171.310634,0.000000,-110.501634
1777022701.554233,-60.493953,-102.235847,-162.753388,0.000000,-102.235847
1777022701.655550,-60.214374,-93.812452,-154.050098,0.000000,-93.812452
1777022701.754300,-59.985046,-85.670059,-145.674295,0.000000,-85.670059
1777022701.854255,-59.795533,-78.033776,-137.844708,0.000000,-78.033776
1777022701.954712,-59.389387,-70.952148,-130.378870,0.000000,-70.952148
1777022702.054317,-59.158896,-64.596260,-123.776428,0.000000,-64.596260
1777022702.155534,-59.132874,-59.042756,-118.178347,0.000000,-59.042756
1777022702.257591,-59.105197,-54.521317,-113.629366,0.000000,-54.521317
1777022702.355884,-59.180284,-51.191525,-110.363739,0.000000,-51.191525
1777022702.454387,-59.084173,-49.209761,-108.303815,0.000000,-49.209761
1777022702.554394,-59.205236,-48.362842,-107.555245,0.000000,-48.362842
1777022702.654690,-59.271046,-48.527286,-107.791234,0.000000,-48.527286
1777022702.754687,-59.271046,-49.523930,-108.794976,0.000000,-49.523930
1777022702.854386,-59.548295,-51.031785,-110.554080,0.000000,-51.031785
1777022702.954584,-59.548295,-52.546845,-112.095140,0.000000,-52.546845
1777022703.054386,-59.847900,-53.418847,-113.242426,0.000000,-53.418847
1777022703.154766,-60.235051,-53.922566,-114.125435,0.000000,-53.922566
1777022703.254768,-60.235051,-53.018742,-113.253793,0.000000,-53.018742
1777022703.354286,-60.178748,-50.573987,-110.756559,0.000000,-50.573987
1777022703.454365,-60.178748,-46.400105,-106.578853,0.000000,-46.400105
1777022703.554368,-60.183941,-40.665902,-100.849536,0.000000,-40.665902
1777022703.656184,-60.097716,-33.897371,-94.000035,0.000000,-33.897371
1777022703.754267,-60.044285,-26.692788,-86.740084,0.000000,-26.692788
1777022703.854530,-59.793085,-19.597676,-79.404609,0.000000,-19.597676
1777022703.954569,-59.618832,-12.629918,-72.260210,0.000000,-12.629918
1777022704.054256,-59.379630,-5.721945,-65.120634,0.000000,-5.721945
1777022704.154337,-59.210843,0.978826,-58.245639,0.000000,0.978826
1777022704.256078,-58.898179,7.264161,-51.662870,0.000000,7.264161
1777022704.356894,-58.705572,12.632646,-46.092447,0.000000,12.632646
1777022704.454866,-58.649044,17.125931,-41.528994,0.000000,17.125931
1777022704.554328,-58.673993,21.045414,-37.625974,0.000000,21.045414
1777022704.654649,-58.662921,24.792713,-33.871373,0.000000,24.792713
1777022704.754531,-58.751831,28.560383,-30.183086,0.000000,28.560383
1777022704.854597,-58.916907,32.032758,-26.870706,0.000000,32.032758
1777022704.954772,-59.035183,34.951619,-24.073859,0.000000,34.951619
1777022705.055039,-59.264714,37.055027,-22.194469,0.000000,37.055027
1777022705.155210,-59.562307,37.833468,-21.709035,0.000000,37.833468
1777022705.255054,-59.647734,37.112936,-22.527785,0.000000,37.112936
1777022705.355569,-59.647734,34.623201,-25.024534,0.000000,34.623201
1777022705.456434,-59.899394,30.700401,-29.175827,0.000000,30.700401
1777022705.554341,-59.967691,25.854585,-34.106101,0.000000,25.854585
1777022705.654397,-60.071895,20.424781,-39.635725,0.000000,20.424781
1777022705.754442,-60.259849,14.341487,-45.900646,0.000000,14.341487
1777022705.854913,-60.440302,7.666746,-52.757059,0.000000,7.666746
1777022705.954876,-60.893051,0.303356,-60.358122,0.000000,0.303356
1777022706.054408,-60.893051,-7.655197,-68.534023,0.000000,-7.655197
1777022706.154475,-61.235986,-15.821239,-77.038636,0.000000,-15.821239
1777022706.254839,-61.684206,-23.646705,-85.306173,0.000000,-23.646705
1777022706.354540,-62.017226,-30.748414,-92.746923,0.000000,-30.748414
1777022706.455108,-62.777113,-36.711299,-99.446789,0.000000,-36.711299
1777022706.554382,-65.693257,-41.339805,-106.793944,0.000000,-41.339805
1777022706.656757,-65.806421,-44.857599,-110.546090,0.000000,-44.857599
1777022706.754895,-65.806421,-47.420719,-113.222082,0.000000,-47.420719
1777022706.855225,-65.765678,-48.887415,-113.321012,0.000000,-48.887415
1777022706.955574,-64.073568,-49.283758,-114.989399,0.000000,-49.283758
1777022707.054426,-64.073568,-48.754527,-112.899472,0.000000,-48.754527
1777022707.154881,-64.073568,-47.491245,-111.564814,0.000000,-47.491245
1777022707.254723,-63.511609,-45.701895,-109.319988,0.000000,-45.701895
1777022707.355906,-63.511609,-43.688581,-107.203944,0.000000,-43.688581
1777022707.454321,-63.049077,-41.664269,-104.734357,0.000000,-41.664269
1777022707.554556,-62.785532,-39.635363,-102.435374,0.000000,-39.635363
1777022707.654820,-62.628324,-37.773281,-100.410162,0.000000,-37.773281
1777022707.754990,-62.312802,-35.831782,-98.161463,0.000000,-35.831782
1777022707.854808,-62.103645,-33.728847,-95.844400,0.000000,-33.728847
1777022707.954574,-61.986797,-31.428370,-93.421671,0.000000,-31.428370
1777022708.054389,-62.243280,-29.141112,-91.369167,0.000000,-29.141112
1777022708.155054,-62.171505,-27.008845,-89.184480,0.000000,-27.008845
1777022708.254363,-62.195544,-25.210042,-87.404288,0.000000,-25.210042
1777022708.354669,-62.038163,-23.835461,-85.882395,0.000000,-23.835461
1777022708.454767,-62.002543,-22.626858,-84.631439,0.000000,-22.626858
1777022708.555034,-61.899593,-21.740446,-83.645865,0.000000,-21.740446
